node_id,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,message_retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service
31,607.5448519,302.7751283,0.160174259,232.3590599,1.712670185,271,169,0.376383764,72.2384451,8,-97.43991327,0.347448125,0.295464266,0.413667254,44,0,2,0
32,170.5241237,532.4709079,29.54614698,341.108273,-2.325012253,446,418,0.062780269,84.05812221,1,-34.00940342,0.062259781,0.098349378,0.187904539,43,3,0,0
33,65.05159299,564.4165878,26.33497811,14.85710905,1.345369424,231,218,0.056277056,98.92994393,1,-92.12043689,0.576837805,0.570186849,0.551884812,19,4,1,3
34,948.8855373,600.583197,26.85318677,330.7870281,-0.686047861,308,120,0.61038961,12.52505947,7,-54.29403303,0.045753045,0.078089155,0.127045513,29,2,2,0
35,965.6320331,166.2553303,19.77733611,219.2693958,-2.559729662,475,85,0.821052632,37.68739007,4,-61.39478429,0.660583542,0.63654507,0.724388605,28,1,1,4
36,808.3973481,379.7374048,10.34360786,290.6331483,1.876380297,89,255,1.865168539,80.84815505,4,-96.73290065,0.730802332,0.689670198,0.712499032,7,3,1,4
37,304.6137692,617.1942271,26.80945947,138.1949832,0.477783421,379,363,0.042216359,9.544043668,5,-79.33787073,0.486064042,0.483262071,0.450416221,13,3,2,1
38,97.67211401,969.8188646,8.745507845,169.8634709,-1.585430923,371,356,0.040431267,54.53732548,7,-45.69024775,0.781257114,0.860277657,0.895663514,37,3,0,2
39,684.2330265,727.6311377,16.8813463,312.7862706,2.368087046,109,194,0.779816514,85.98139793,7,-78.51841117,0.967390699,1.002361108,0.878812549,2,0,2,4
40,440.1524937,922.6037571,2.99192917,149.3452691,-2.728450117,60,65,0.083333333,2.880135058,8,-66.37673243,0.340052611,0.362384069,0.285604742,2,1,2,2
41,122.0382348,762.2120583,27.6586689,192.477444,-1.789082351,169,359,1.124260355,94.01237096,9,-51.14346202,0.618906924,0.662879969,0.761251526,13,1,1,1
42,495.1769101,591.7169689,4.223113733,7.27017231,1.512281567,434,58,0.866359447,97.83633757,2,-94.98990093,0.323731743,0.369554079,0.25694148,20,1,0,1
43,34.38852112,192.0233691,6.746904172,57.0952821,1.256267582,459,109,0.762527233,32.90581204,8,-41.71760006,0.443385585,0.402334399,0.555128515,34,1,2,2
44,909.3204021,666.6856519,16.74402474,231.0071429,-1.264369838,91,451,3.956043956,76.91232795,2,-97.08931741,0.020825523,-0.032626951,-0.017746142,43,4,0,3
45,258.7799816,623.379566,22.92279001,258.1116844,-2.627850748,239,387,0.619246862,13.59043416,0,-81.63287861,0.074349882,0.076176255,0.089710971,43,3,1,2
46,662.5222844,602.4691705,18.58053918,209.7363372,2.148468433,172,198,0.151162791,77.51356278,4,-46.58529141,0.79752873,0.727096062,0.767031406,48,3,2,4
47,311.7110761,489.785868,6.964017384,51.59161306,-1.117814172,238,62,0.739495798,48.6706464,6,-36.16873938,0.139907781,0.134855909,0.05629831,42,3,0,2
48,520.0680212,528.656604,0.028291276,160.3459543,-1.82571951,301,122,0.594684385,86.16703477,2,-46.77593994,0.699151428,0.737760481,0.756483186,40,2,0,4
49,546.7102793,334.4425271,22.71451741,127.8341159,0.096370934,141,141,0,22.0480363,8,-84.11004488,0.708867033,0.610349065,0.848850093,26,1,1,4
50,184.8544555,519.3126926,29.55621978,178.4380839,2.461363196,262,408,0.557251908,67.59313737,0,-30.99933255,0.996225966,0.918455457,1.11406924,27,4,0,4
51,969.5846278,197.5559057,24.29739361,313.3184524,-2.738720533,367,238,0.351498638,78.82579827,5,-71.06660408,0.695596006,0.78802675,0.841179012,27,4,0,3
52,775.1328234,805.1743974,13.80619854,279.3101179,1.594824528,251,426,0.697211155,21.04673426,5,-73.64841523,0.128745689,0.214334083,0.186083788,4,2,0,3
53,939.4989416,185.7769547,27.11301784,30.2362205,0.434839368,317,419,0.321766562,82.01044048,7,-39.43351503,0.626541653,0.610124954,0.486885124,42,2,2,1
54,894.8273504,84.96628989,12.29543019,320.5113112,-0.447305301,204,223,0.093137255,95.84056459,2,-95.36537165,0.52414282,0.542149384,0.54036377,38,3,2,0
55,597.8999788,436.2460264,15.74802253,169.8361744,1.464482665,244,293,0.200819672,61.99178139,4,-61.07429998,0.917390758,0.848449245,0.954145346,9,3,1,3
56,921.874235,658.3074395,14.31389302,267.7903722,2.794946547,77,276,2.584415584,78.70019126,9,-32.40619035,0.690150066,0.656352464,0.576193203,8,3,1,3
57,88.49250205,437.7168249,13.42871618,50.41412326,-1.624762733,243,147,0.395061728,53.72580208,4,-92.99087649,0.518478602,0.577065037,0.617006683,19,3,2,1
58,195.9828624,276.754132,23.25572308,241.4590293,-2.13811581,461,477,0.034707158,60.21223274,7,-62.14056642,0.624213892,0.695407207,0.693238095,28,3,0,1
59,45.22728891,558.1711839,15.80306722,85.07736634,2.477290471,272,257,0.055147059,2.321891018,6,-90.72803681,0.443459953,0.424518386,0.427988675,46,1,2,1
60,325.3303308,347.0023354,9.501513661,157.817123,1.013718465,156,38,0.756410256,52.90443942,2,-37.70154256,0.508407289,0.470617828,0.446005714,28,4,1,2
61,388.6772897,932.8676901,7.74474503,6.07063323,-0.372083871,198,436,1.202020202,57.98081123,6,-58.85761294,0.722344964,0.758681343,0.638886711,27,1,1,4
62,271.3490318,922.6451396,1.132419509,54.57982965,0.439557422,184,228,0.239130435,67.33470703,9,-83.57776313,0.078346272,0.121926904,0.217680325,10,4,2,3
63,828.7375092,502.37182,17.49585486,33.14897752,1.473683431,144,306,1.125,17.76967027,7,-78.50698907,0.615335575,0.712096981,0.705958244,20,0,1,4
64,356.7533267,327.883994,6.898842462,86.30790226,1.638191392,319,158,0.504702194,24.89605198,4,-63.83583187,0.088217468,0.12768323,0.146232741,34,0,1,0
65,280.9345097,737.132414,4.44401766,36.00651241,2.519365085,472,331,0.298728814,75.84445854,4,-49.22563258,0.855076786,0.803109785,0.989590841,22,0,1,1
66,542.6960832,36.71294348,19.61489891,249.0876096,-0.438943267,423,91,0.784869976,17.59624318,0,-65.87540527,0.942463381,0.854460297,0.853514833,28,4,1,0
67,140.924225,474.769006,20.43627773,10.4543648,-1.23953454,175,31,0.822857143,42.18658117,7,-86.75138393,0.780202552,0.731723593,0.887485014,14,2,1,1
68,802.1969808,336.3233943,22.56464677,222.3865802,0.837985601,408,389,0.046568627,25.79853168,5,-50.43081482,0.718031722,0.663362247,0.743065547,16,1,0,1
69,74.55064368,920.5358851,15.10730689,50.6548191,-0.505632604,378,360,0.047619048,54.97322626,5,-91.71453882,0.943747337,0.862314193,1.073662156,23,2,2,0
70,986.8869366,12.00302727,26.82163816,340.2581246,0.567590724,367,386,0.051771117,98.70021723,4,-43.34148907,0.218528315,0.207405831,0.266711308,34,4,1,4
71,772.2447693,552.8148757,28.0902826,335.9138663,-0.480085209,61,201,2.295081967,85.35175187,4,-72.30799182,0.228832946,0.18646077,0.301292938,19,3,1,0
72,198.7156815,740.6635811,24.22112819,81.18111691,-2.08202528,343,274,0.201166181,27.67795966,2,-54.31025903,0.481015365,0.566033479,0.397692502,35,2,1,2
73,5.522117124,485.0179875,19.06780446,221.1916674,-0.18343949,491,117,0.761710794,37.49256925,2,-75.87098923,0.007463019,-0.011755031,-0.039038177,10,4,2,3
74,815.4614285,85.40303016,9.111628608,10.08191501,1.145506932,489,413,0.155419223,91.94472467,1,-53.16485279,0.965069891,1.040393213,0.905761584,29,0,2,3
75,706.8573438,972.46139,29.48834765,335.4438755,1.795702846,344,112,0.674418605,89.93120226,8,-37.7569162,0.032252449,-0.006401139,0.090496234,38,3,2,4
76,729.007168,518.0104314,8.224085016,188.2754309,-0.040042339,391,34,0.913043478,16.89227581,7,-50.90170111,0.596111974,0.662410092,0.569464004,19,0,1,4
77,771.2703467,614.1862443,6.07970766,15.56033451,-2.008572659,53,378,6.132075472,83.09784204,2,-53.00137108,0.353973898,0.344876809,0.461967283,21,2,1,4
78,74.04465173,236.6097827,13.26462341,123.2999975,-0.511873742,353,68,0.807365439,30.46318257,4,-46.98124316,0.102965946,0.009437586,0.016740401,23,2,2,0
79,358.4657285,483.4980851,1.705217121,27.66580627,1.717763573,440,413,0.061363636,54.83651277,9,-64.98515926,0.024614936,0.022005622,0.113315199,13,1,0,0
80,115.8690595,429.149492,29.35483394,141.4599982,-0.522844376,365,351,0.038356164,1.50474054,4,-84.57951307,0.262418546,0.207772183,0.356391374,35,1,0,0
81,863.1034259,74.895842,17.65300669,241.1734832,1.179184762,217,330,0.520737327,99.8604289,7,-42.91345649,0.106684035,0.068172468,0.145047632,12,4,2,1
82,623.2981268,106.1603535,16.70856275,169.1603669,0.04328209,57,104,0.824561404,76.3485505,5,-54.60626022,0.940328582,0.977200062,0.834821625,0,2,1,0
83,330.8980249,837.4725196,19.6738884,138.1399829,-1.552661249,173,130,0.248554913,24.93157293,6,-78.03253836,0.244761288,0.250662219,0.192776993,49,0,1,3
84,63.55835029,239.8199522,14.91070943,42.89653639,1.776903048,421,170,0.596199525,68.69569452,4,-80.68908825,0.09413193,0.17185443,0.063454398,26,1,0,3
85,310.9823217,194.9582715,0.961905513,88.17805645,-2.494719276,363,122,0.663911846,30.03742892,0,-65.00497491,0.769682035,0.856872966,0.75931673,12,0,1,1
86,325.183322,504.9114513,18.36933867,36.05158359,0.149341697,234,148,0.367521368,9.856125585,7,-85.48860427,0.414252093,0.452443569,0.485281885,34,4,2,0
87,729.6061783,768.7471314,21.48521631,290.6995434,-1.746653795,84,317,2.773809524,43.10568568,3,-38.52328175,0.843666007,0.91637309,0.795177785,7,0,1,0
88,637.5574714,61.94651858,12.50247182,48.68633807,-2.597606229,122,138,0.131147541,61.75816738,4,-44.79987104,0.838430969,0.777445847,0.693896297,17,0,1,2
89,887.2127426,576.8079196,22.71886716,214.334412,0.017603622,420,72,0.828571429,9.887968363,0,-78.41795243,0.992380752,0.908235648,1.102204362,33,3,2,2
90,472.2149252,119.2104428,6.81003898,123.3865489,-0.002627064,62,165,1.661290323,52.32222355,2,-96.54175167,0.803827932,0.770421753,0.783525964,5,4,0,3
91,119.5942459,36.46105083,6.638297732,81.35221848,1.24140541,88,359,3.079545455,51.97155901,1,-96.36923373,0.214151843,0.179295102,0.149017745,26,1,2,4
92,713.2447872,52.74395216,4.842509631,230.2086382,1.468504158,133,246,0.84962406,63.23587882,1,-79.20161694,0.586448388,0.619466892,0.68220414,17,3,1,3
93,760.7850486,834.1641082,11.15984279,164.5208314,1.366748932,70,472,5.742857143,25.21991821,0,-89.6744803,0.526250079,0.594322031,0.639903693,49,2,2,1
94,561.2771976,117.9724836,25.41036106,144.0523682,-0.542647602,302,424,0.40397351,3.043506841,5,-38.86674265,0.508189629,0.467566098,0.577501282,8,2,2,0
95,770.96718,45.15136441,24.83736186,213.4267218,0.790138723,352,185,0.474431818,33.16089317,7,-70.54520301,0.296807447,0.281762047,0.253102235,14,1,0,2
96,493.7955964,437.8998871,11.48472624,176.8563463,0.461671456,307,68,0.778501629,40.45953806,2,-75.63814549,0.21014083,0.131131902,0.129465949,22,4,0,3
97,522.7328294,843.9934719,17.67356208,109.2543151,-0.470629463,349,311,0.108882521,63.93836441,0,-84.74706334,0.716894935,0.699443123,0.780734844,2,2,1,1
98,427.5410184,262.4083765,21.62448949,201.2620636,0.583276165,79,357,3.518987342,93.08701437,9,-41.11592847,0.10176173,0.044643471,-0.031000456,8,2,2,4
99,25.41912674,421.7126175,7.236203239,241.0194876,2.68348726,177,387,1.186440678,21.13516676,1,-44.52730996,0.049615996,0.026107072,0.016931958,21,2,1,3
100,107.891427,39.92253256,5.044232577,9.609537091,-1.842637538,360,55,0.847222222,69.04602925,2,-73.09714293,0.381243632,0.334513083,0.458885244,49,4,2,0
101,31.42918569,449.0785141,29.1628798,167.7138224,2.434632575,89,61,0.314606742,10.64269003,5,-88.14495048,0.743925475,0.805671382,0.769447121,22,2,2,0
102,636.4104113,577.6130806,18.5267194,20.76598245,-2.679266916,146,75,0.48630137,19.8715538,2,-33.36082269,0.868533005,0.769345542,0.938688859,19,1,0,2
103,314.3559811,570.9070538,29.44247166,67.10594906,-1.149664723,273,185,0.322344322,51.40431665,8,-77.88980011,0.540126926,0.507868579,0.562001819,6,1,2,1
104,508.5706912,332.4266922,10.13267961,201.7831443,-1.271128508,141,273,0.936170213,71.12938034,0,-46.02357947,0.839932423,0.933779551,0.761838663,16,1,0,4
105,907.5664739,315.5331807,21.090951,311.8280095,0.758190647,329,420,0.276595745,85.99828506,6,-67.58653013,0.025291217,0.061089756,0.020255694,2,3,2,4
106,249.2922291,106.6236189,6.678109096,317.8100445,-2.212650289,219,64,0.707762557,74.64643977,9,-45.28478245,0.455369479,0.509802925,0.537288098,6,1,1,1
107,410.382923,366.7983206,7.836005138,25.17984365,2.294085671,333,479,0.438438438,2.519925899,7,-66.28735277,0.133388537,0.205363289,0.052505819,12,0,1,2
108,755.5511385,99.49466887,15.35706364,150.8778311,1.971308451,271,307,0.132841328,68.70920127,8,-35.21081373,0.58271752,0.555086338,0.721623719,40,2,2,0
109,228.7981655,766.5959447,9.588543765,209.8823339,0.912394918,166,271,0.63253012,82.64111267,7,-43.97036382,0.920988249,0.834177173,0.831847224,40,1,0,4
110,76.97990983,966.2742977,5.028646915,52.94516564,-0.249517009,297,435,0.464646465,53.02781426,4,-81.77976736,0.007190463,-0.010671545,-0.138547435,22,4,0,1
111,289.7514529,970.0744567,7.88642106,275.555598,2.597736253,410,407,0.007317073,96.59427041,0,-69.87355574,0.668221088,0.698762376,0.751642314,36,4,0,2
112,161.2212873,865.0710994,1.072451834,267.924693,1.984479328,398,288,0.27638191,1.426929822,0,-92.95871355,0.792349718,0.766508034,0.920870583,3,4,2,0
113,929.6976523,600.7921493,21.13270864,325.2027649,-0.004109112,403,75,0.813895782,82.04713711,7,-36.75700808,0.744481274,0.734143776,0.668474076,8,3,1,1
114,808.1203796,700.8656972,14.76349971,3.05496435,1.211240127,484,463,0.04338843,34.14715346,6,-95.14925746,0.019769091,0.084869888,-0.083713966,5,4,0,2
115,633.4037565,285.2058027,2.827291992,78.00632784,0.401579713,455,266,0.415384615,65.39452839,4,-98.72308742,0.173883574,0.081130999,0.091062193,41,3,1,3
116,871.4605902,630.7704202,5.150819794,297.7872171,0.52765343,138,37,0.731884058,69.65470755,9,-65.24968544,0.094399323,0.061343528,0.132758692,17,2,0,1
117,803.6720769,455.6495494,3.076036143,241.4088183,-1.014143583,127,289,1.275590551,31.31865262,2,-57.78096255,0.085454199,0.083136805,0.109160361,34,0,2,4
118,186.5700589,482.0173398,18.37778425,321.9803473,-0.227492372,123,300,1.43902439,99.54702548,8,-84.37499254,0.730184133,0.69002154,0.766588154,22,4,2,1
119,892.5589985,757.7765604,2.826310908,20.58467563,-2.531271415,441,73,0.83446712,11.22175278,3,-60.06156407,0.424789356,0.413955226,0.277109596,30,4,0,0
120,539.3422419,281.9183556,22.62846999,214.9070277,-0.85590785,63,267,3.238095238,16.54587943,5,-37.31066832,0.72482142,0.705174288,0.621917545,19,3,1,1
121,807.4401552,318.0396117,0.61532758,204.856767,1.174971092,94,196,1.085106383,89.32697882,3,-56.17193958,0.360752417,0.445534206,0.283723824,6,3,0,0
122,896.0912999,924.6417911,7.48127364,12.84278989,2.719296183,87,405,3.655172414,12.79880777,8,-68.09814146,0.117049308,0.115673818,0.176174954,11,0,0,2
123,318.003475,56.22429485,26.72000028,184.8679477,2.778384677,465,105,0.774193548,38.74734021,3,-89.88997109,0.718452102,0.713716493,0.751076251,36,1,0,3
124,110.0519245,485.6342984,21.55593954,219.4273121,0.334337215,294,186,0.367346939,73.58107898,7,-88.17407895,0.626057204,0.576954823,0.663227558,48,3,1,0
125,227.9351625,912.8008004,2.189049988,68.86554271,0.639733511,111,230,1.072072072,79.35769422,2,-66.09517089,0.112976157,0.022240722,0.134190461,3,0,0,2
126,427.1077886,610.3630078,24.63378313,98.39864992,-1.885672887,145,263,0.813793103,95.5122485,7,-67.5815049,0.924364412,0.884260032,0.997718647,11,2,0,2
127,818.0147659,546.4070742,14.79105365,230.5250447,1.171848649,372,261,0.298387097,79.16780963,2,-63.4327934,0.308920815,0.214362451,0.441429161,14,4,2,3
128,860.7305833,249.7441792,25.40349082,168.5883411,-2.576047244,301,475,0.57807309,84.60870603,4,-64.44767004,0.654730056,0.720084906,0.706799969,1,4,1,4
129,6.952130531,343.2754891,18.02219323,308.8849167,-1.291885885,110,241,1.190909091,94.98822456,0,-76.11047728,0.031980918,-0.027161549,0.105469615,46,0,2,4
130,510.7473026,852.0484158,20.45499096,123.2574358,1.010180084,318,447,0.405660377,55.81508154,5,-51.2895459,0.443042433,0.525281138,0.47549822,10,0,2,1
131,417.4110031,559.2181318,29.80504681,95.99747702,-1.138139211,168,183,0.089285714,34.99991255,1,-85.14522182,0.9643642,1.041531409,1.053655356,32,4,0,4
132,222.1078105,514.7421938,6.970066378,354.5517385,-2.700918755,136,397,1.919117647,76.39970132,2,-40.33698152,0.886508586,0.919447762,1.019404152,13,3,0,1
133,119.8653673,99.57971354,18.71836724,328.0088772,1.991222456,132,242,0.833333333,17.19061706,0,-86.39227187,0.221347254,0.29385599,0.252878313,26,1,0,0
134,337.6151714,16.02815646,13.8096417,10.4373882,-1.138019957,129,116,0.100775194,7.75493533,5,-70.88788203,0.879130336,0.954713343,0.783432358,3,2,2,0
135,942.9097039,963.6851887,1.183558588,277.4623015,-2.621368651,277,47,0.83032491,78.74775565,4,-85.2479588,0.293070168,0.348339445,0.374150106,37,1,1,1
136,323.202932,376.9861673,0.434119245,39.72051858,-2.551271013,352,220,0.375,95.11646445,9,-56.70830365,0.852234434,0.85382002,0.897484376,39,1,1,3
137,518.7906217,603.2130621,3.576857335,9.894670139,-1.489447207,160,337,1.10625,44.80224755,1,-66.56535816,0.72922693,0.819236225,0.859308327,19,1,2,3
138,703.0189589,79.71507319,19.47275222,98.53038575,-1.931904317,419,83,0.801909308,16.95221189,7,-73.79802107,0.352052603,0.415600815,0.283692796,1,4,2,4
139,363.6296024,683.1142857,17.01489264,96.96451646,1.645800707,359,245,0.317548747,50.20507663,8,-66.74065622,0.910790893,0.836187895,1.051801891,3,1,1,0
140,971.7820827,932.5667087,16.60288683,294.9547544,-1.06989572,120,71,0.408333333,39.93846734,2,-70.51316823,0.485279295,0.469260953,0.500827121,48,3,0,0
141,962.4472949,575.665253,0.955702876,255.8402085,1.82817471,485,378,0.220618557,37.87492004,5,-40.13841338,0.317694071,0.325632309,0.4568934,23,3,1,3
142,251.7822958,126.1153224,14.07908989,353.3793938,-1.956924013,377,259,0.312997347,63.18000316,5,-91.30134508,0.279685857,0.285568759,0.364897632,8,3,2,2
143,497.2485059,581.7215275,27.73868454,256.1446441,-0.042724923,74,259,2.5,18.29883576,9,-44.47730051,0.939067115,0.914974074,1.048855022,18,0,0,3
144,300.8783098,766.3472131,11.92775608,150.5719992,1.128222801,328,211,0.356707317,38.66767332,5,-54.12692913,0.758580991,0.764909041,0.705733494,7,2,0,3
145,284.8404944,406.4165366,18.74767409,251.6139579,0.911945123,251,465,0.852589641,86.99900707,7,-75.61757359,0.349899097,0.268497506,0.265729392,40,3,1,2
146,36.88694735,879.8377479,23.39456027,359.8052642,0.60677646,463,170,0.632829374,73.23684466,4,-35.66285572,0.254168445,0.285214932,0.29139354,27,1,0,4
147,609.564334,648.6829534,23.51775837,255.6510777,2.548929612,274,317,0.156934307,6.503258212,9,-87.61380655,0.211617042,0.211165481,0.173916373,12,0,2,1
148,502.6790232,899.2489183,15.57840247,274.2052882,-1.628849114,316,368,0.164556962,51.8764758,9,-78.27981986,0.244492631,0.302023226,0.390261112,7,4,1,4
149,51.47875125,623.5053112,25.73855836,337.8114055,-0.037684773,468,366,0.217948718,10.03823647,7,-73.76112534,0.110979391,0.14965693,0.109628512,13,3,2,2
150,278.6464642,131.287972,11.7413428,40.91445407,2.3039553,332,351,0.057228916,95.79214647,2,-54.65426032,0.484734959,0.407288917,0.367877306,49,1,2,2
151,908.265886,309.6917111,26.66079644,253.7223456,-2.532637406,166,111,0.331325301,25.21942345,6,-33.75120585,0.041072162,0.011214071,0.040712966,49,1,2,4
152,239.5618907,201.7949483,7.206814992,306.2901449,-2.66467039,116,471,3.060344828,93.32948155,0,-58.45864961,0.011514646,0.058763987,0.022039544,9,4,1,1
153,144.8948721,908.8264977,8.40649221,343.5762961,-1.600186275,96,196,1.041666667,83.56683244,3,-40.05857401,0.618072593,0.585449832,0.46949121,19,0,2,4
154,489.4527603,760.4000673,1.593618726,75.9489443,0.798127317,290,440,0.517241379,55.58507904,4,-36.65186972,0.088479319,0.101859525,0.012126138,0,1,2,0
155,985.6504541,676.3983689,23.8674551,181.4144428,-1.440722241,227,363,0.599118943,34.29415271,6,-67.34754012,0.845209613,0.937463522,0.695611474,11,2,0,0
156,242.0552715,300.9663196,12.51165709,244.9997452,-1.858560697,57,83,0.456140351,85.93672139,5,-66.92961113,0.106728779,0.0227129,0.125029165,34,3,0,0
157,672.1355474,184.0447721,6.873498417,89.08838262,-0.247186108,232,102,0.560344828,16.12558639,5,-82.50015769,0.542669,0.480726841,0.480309144,19,0,2,1
158,761.6196153,756.451088,6.953708328,216.1702308,0.681588413,126,242,0.920634921,18.81743728,1,-57.888944,0.675503642,0.671625523,0.577465911,11,3,0,1
159,237.637544,474.1579459,27.04199824,92.7283617,-1.508653758,475,200,0.578947368,23.24754506,1,-91.59805241,0.229155507,0.276842197,0.330730573,49,3,1,2
160,728.2163486,225.7895522,25.01749801,120.0445274,-1.19585288,116,465,3.00862069,60.17199289,1,-55.5969888,0.888264156,0.854286424,0.747269452,11,4,0,3
161,367.7831327,616.6219782,16.60592656,158.9467307,0.681355829,197,299,0.517766497,32.11819723,9,-37.49720233,0.481386902,0.404879199,0.538899621,38,2,1,1
162,632.3058306,40.33385214,18.48332401,190.5084355,2.674430532,222,248,0.117117117,98.92896251,7,-46.74500183,0.315319095,0.278474261,0.337218841,28,2,1,3
163,633.5297108,326.1702541,14.22976712,161.7717138,1.048450365,84,165,0.964285714,20.31619049,6,-54.55681359,0.901128608,0.930015119,0.982594275,2,4,0,0
164,535.7746841,468.5569946,11.74999629,177.5503871,1.697424862,126,64,0.492063492,80.75539966,0,-41.31172046,0.858340244,0.916849801,0.748019237,6,3,0,0
165,90.28977005,147.9583341,27.46430644,107.4919523,-0.799139431,453,175,0.613686534,10.48778563,8,-48.91293844,0.709627402,0.80502998,0.821101414,22,2,1,3
